# Oscilloscope file ./20201025_015218.bin
# Channel 2
Time / s;Voltage / V
287.75;0.004
288;0.006
288.25;-0.006
288.5;0.002
288.75;0.004
289;0.008
289.25;-0.006
289.5;0.004
289.75;0.002
290;0.008
290.25;-0.004
290.5;0.004
290.75;0.004
291;0.008
291.25;-0.004
291.5;0.004
291.75;0.004
292;0.008
292.25;-0.004
292.5;0
292.75;0
293;0.01
293.25;-0.006
293.5;0.004
293.75;0.004
294;0.008
294.25;-0.004
294.5;0
294.75;-0.002
295;0.008
295.25;-0.006
295.5;0.004
295.75;0.004
296;0.01
296.25;-0.004
296.5;0
296.75;-0.002
297;0.01
297.25;-0.004
297.5;0.004
297.75;0.004
298;0.008
298.25;-0.004
298.5;0.004
298.75;0
299;0.008
299.25;-0.006
299.5;0
299.75;0
300;0.01
300.25;-0.004
300.5;0.004
300.75;0.004
301;0.008
301.25;-0.004
301.5;0.002
301.75;0
302;0.008
302.25;-0.004
302.5;0.004
302.75;0.004
303;0.01
303.25;-0.006
303.5;0.002
303.75;0
304;0.008
304.25;-0.006
304.5;0.004
304.75;0.002
305;0.008
305.25;-0.006
305.5;0.004
305.75;0.004
306;0.008
306.25;-0.004
306.5;0.004
306.75;0.002
307;0.008
307.25;-0.004
307.5;0.004
307.75;0.004
308;0.01
308.25;-0.006
308.5;0
308.75;0.002
309;0.01
309.25;-0.004
309.5;0.002
309.75;0.002
310;0.008
310.25;-0.006
310.5;0.002
310.75;0.002
311;0.008
311.25;-0.004
311.5;0.004
311.75;0
312;0.008
312.25;-0.004
312.5;0
312.75;0.002
313;0.01
313.25;-0.006
313.5;0
313.75;0.002
314;0.008
314.25;-0.006
314.5;0.002
314.75;0.002
315;0.01
315.25;-0.004
315.5;0.004
315.75;0.002
316;0.008
316.25;-0.006
316.5;0.002
316.75;0
317;0.008
317.25;-0.006
317.5;0.002
317.75;0.002
318;0.008
318.25;-0.004
318.5;0.002
318.75;0.002
319;0.008
319.25;-0.006
319.5;0
319.75;0
320;0.008
320.25;-0.006
320.5;0.002
320.75;0.002
321;0.008
321.25;-0.006
321.5;0
321.75;-0.002
322;0.008
322.25;-0.006
322.5;0
322.75;0
323;0.008
323.25;-0.006
323.5;0.002
323.75;0.002
324;0.006
324.25;-0.006
324.5;-0.002
324.75;0
325;0.008
325.25;-0.006
325.5;-0.002
325.75;0
326;0.006
326.25;-0.008
326.5;-0.002
326.75;0
327;0.006
327.25;-0.006
327.5;0
327.75;0.004
328;0.006
328.25;-0.006
328.5;0
328.75;-0.002
329;0.006
329.25;-0.006
329.5;0.002
329.75;0.002
330;0.006
330.25;-0.006
330.5;0
330.75;0
331;0.004
331.25;-0.008
331.5;0
331.75;-0.002
332;0.006
332.25;-0.008
332.5;-0.002
332.75;-0.002
333;0.004
333.25;-0.008
333.5;-0.004
333.75;-0.002
334;0.004
334.25;-0.008
334.5;-0.004
334.75;-0.004
335;0.002
335.25;-0.008
335.5;-0.006
335.75;-0.004
336;0.002
336.25;-0.01
336.5;-0.006
336.75;-0.004
337;0.002
337.25;-0.01
337.5;-0.006
337.75;-0.002
338;0.002
338.25;-0.01
338.5;-0.006
338.75;-0.008
339;0
339.25;-0.012
339.5;-0.006
339.75;-0.006
340;0
340.25;-0.012
340.5;-0.006
340.75;-0.006
341;0.002
341.25;-0.012
341.5;-0.006
341.75;-0.008
342;-0.002
342.25;-0.014
342.5;-0.008
342.75;-0.008
343;-0.002
343.25;-0.014
343.5;-0.01
343.75;-0.008
344;-0.002
344.25;-0.016
344.5;-0.01
344.75;-0.01
345;-0.004
345.25;-0.016
345.5;-0.012
345.75;-0.014
346;-0.004
346.25;-0.018
346.5;-0.012
346.75;-0.012
347;-0.006
347.25;-0.018
347.5;-0.01
347.75;-0.012
348;-0.006
348.25;-0.018
348.5;-0.012
348.75;-0.012
349;-0.008
349.25;-0.02
349.5;-0.014
349.75;-0.014
350;-0.008
350.25;-0.02
350.5;-0.014
350.75;-0.016
351;-0.01
351.25;-0.02
351.5;-0.018
351.75;-0.016
352;-0.01
352.25;-0.022
352.5;-0.018
352.75;-0.018
353;-0.012
353.25;-0.022
353.5;-0.018
353.75;-0.016
354;-0.012
354.25;-0.022
354.5;-0.018
354.75;-0.018
355;-0.012
355.25;-0.024
355.5;-0.016
355.75;-0.02
356;-0.01
356.25;-0.024
356.5;-0.018
356.75;-0.016
357;-0.012
357.25;-0.024
357.5;-0.018
357.75;-0.022
358;-0.014
358.25;-0.024
358.5;-0.018
358.75;-0.02
359;-0.014
359.25;-0.024
359.5;-0.02
359.75;-0.022
360;-0.014
360.25;-0.026
360.5;-0.02
360.75;-0.018
361;-0.014
361.25;-0.024
361.5;-0.018
361.75;-0.02
362;-0.014
362.25;-0.024
362.5;-0.02
362.75;-0.022
363;-0.014
363.25;-0.026
363.5;-0.02
363.75;-0.02
364;-0.014
364.25;-0.024
364.5;-0.02
364.75;-0.02
365;-0.014
365.25;-0.024
365.5;-0.02
365.75;-0.02
366;-0.014
366.25;-0.024
366.5;-0.02
366.75;-0.02
367;-0.014
367.25;-0.024
367.5;-0.018
367.75;-0.02
368;-0.012
368.25;-0.024
368.5;-0.02
368.75;-0.018
369;-0.01
369.25;-0.022
369.5;-0.018
369.75;-0.018
370;-0.01
370.25;-0.022
370.5;-0.018
370.75;-0.018
371;-0.012
371.25;-0.022
371.5;-0.016
371.75;-0.016
372;-0.012
372.25;-0.022
372.5;-0.016
372.75;-0.018
373;-0.01
373.25;-0.02
373.5;-0.016
373.75;-0.016
374;-0.008
374.25;-0.02
374.5;-0.014
374.75;-0.014
375;-0.01
375.25;-0.022
375.5;-0.014
375.75;-0.014
376;-0.008
376.25;-0.02
376.5;-0.014
376.75;-0.014
377;-0.006
377.25;-0.018
377.5;-0.014
377.75;-0.012
378;-0.006
378.25;-0.018
